key_type,key,smiles
cas,285554-73-6,
cas,16867-03-1,
cas,603-85-0,
cas,7170-76-5,
cas,83763-47-7,
cas,83763-48-8,
cas,99-57-0,
cas,89418-01-9,
cas,149861-22-3,
cas,121-88-0,
cas,6358-09-4,
cas,96-20-8,
cas,135043-64-0,
cas,92368-90-6,
cas,52-51-7,
cas,2338541-06-1,
cas,3608-11-5,
cas,50610-28-1,
cas,131657-78-8,
cas,615-66-7,
cas,6219-71-2 / 61702-44-1,
cas,4414-88-4,
cas,1502-22-3,
cas,21722-83-8,
cas,3913-71-1 / 3913-81-3,
cas,22104-80-9,
cas,2226-05-3,
cas,117933-89-8,
cas,4826-62-4,
cas,22104-81-0,
cas,68845-00-1,
cas,18368-91-7,
cas,85136-06-7,
cas,27043-05-6,
cas,13925-07-0,
cas,15707-23-0,
cas,27538-10-9,
cas,122795-41-9,
cas,97-95-0,
cas,68092-41-1,
cas,94278-39-4,
cas,88-09-5,
cas,104-76-7,
cas,22174-70-5,
cas,64825-20-3,
cas,4359-47-1,
cas,68411-59-6,
cas,67801-17-6,
cas,1192-62-7,
cas,98-02-2,
cas,543-49-7,
cas,137-03-1,
cas,3777-71-7,
cas,39189-74-7,
cas,626-93-7,
cas,2305-21-7,
cas,1708-36-7,
cas,1708-34-5,
cas,1708-35-6,
cas,16429-07-5,
cas,17373-89-6,
cas,1231977-17-5 (free base),
cas,2328127-45-1 (free base),
cas,818-61-1,
cas,99610-72-7,
cas,66095-81-6,
cas,999-61-1; 25584-83-2,
cas,93-19-6,
cas,107-86-8,
cas,50638-95-4,
cas,68555-58-8,
cas,31574-44-4,
cas,1076-56-8,
cas,1875-89-4,
cas,64644-34-4,
cas,64644-32-2,
cas,2101538-28-5,
cas,2847-30-5,
cas,5533-03-9,
cas,93-51-6,
cas,42909-29-5 / 66671-82-7,
cas,135043-65-1,
cas,337906-36-2,
cas,337906-37-3,
cas,70955-71-4,
cas,1141487-54-8,
cas,25634-93-9,
cas,6413-26-9,
cas,7469-77-4,
cas,4675-87-0,
cas,628-44-4,
cas,128119-70-0,
cas,115-18-4,
cas,68555-63-5,
cas,41496-43-9,
cas,28219-60-5,
cas,3155-71-3,
cas,68555-62-4,
cas,58102-02-6,
cas,94134-94-8,
cas,55302-96-0,
cas,38049-26-2,
cas,95-21-6,
cas,1679-09-0,
cas,137-32-6,
cas,51115-64-1,
cas,2445-77-4,
cas,96-17-3,
cas,116-53-0,
cas,37596-36-4,
cas,28588-74-1,
cas,91-57-6,
cas,3142-72-1,
cas,1838-88-6,
cas,37674-63-8,
cas,90397-38-9,
cas,78-84-2,
cas,78-83-1,
cas,37172-02-4,
cas,608-25-3,
cas,10522-26-6,
cas,2443536-03-4 (trans-)/2443536-04-5 (cis-),
cas,135-19-3,
cas,80062-31-3,
cas,57524-53-5,
cas,5307-14-2,
cas,18266-52-9,
cas,68239-83-8,
cas,6720-16-7,
cas,13257-44-8,
cas,19819-98-8,
cas,112894-37-8,
cas,123-96-6,
cas,2363-89-5,
cas,1319128-52-3,
cas,54422-45-6,
cas,699-02-5,
cas,6807-11-0,
cas,6032-29-7,
cas,2110-18-1,
cas,3208-40-0,
cas,90530-04-4,
cas,1179975-39-3,
cas,14765-30-1,
cas,88-41-5,
cas,139504-68-0,
cas,115724-27-1,
cas,67634-11-1,
cas,88-40-4,
cas,2409-55-4,
cas,13491-79-7,
